# Wavelength [nm],zero_counts_500avgs_8ms
207.84478476073983,-100.37115593919947
208.30338098783528,-103.08711172105669
208.76196258532,-104.07063360275455
209.22052953884392,-107.49823414560146
209.67908183405694,-107.12869269955212
210.13761945660903,-108.72222236464393
210.59614239215006,-108.57557638560712
211.05465062633,-106.58318116392869
211.5131441447987,-107.21080761011244
211.97162293320616,-104.71197646348847
212.43008697720222,-104.75890652347641
212.88853626243687,-102.6628163262173
213.34697077456,-103.12231505582565
213.80539049922152,-102.12900652997698
214.26379542207135,-102.95220213738024
214.72218552875944,-106.39938276696279
215.18056080493565,-106.43457436529702
215.63892123624998,-109.39873055696549
216.0972668083523,-105.17537525451402
216.55559750689255,-108.22167986670783
217.01391331752063,-105.93207111231132
217.47221422588646,-105.09324630768204
217.93050021764,-105.96335174865817
218.3887712784311,-104.94465194552613
218.84702739390977,-105.26141146938953
219.3052685497258,-106.06894482308344
219.7634947315293,-104.84494573237653
220.22170592496997,-103.2982919663571
220.67990211569793,-106.1588873610294
221.13808328936295,-107.96359078418942
221.59624943161504,-107.13064955441494
222.0544005281041,-106.51865153643364
222.51253656448003,-106.70048936704096
222.97065752639273,-107.09154743521736
223.42876339949214,-107.95576584468427
223.88685416942823,-105.42174736329066
224.34492982185088,-107.8482324670392
224.80299034241003,-104.68069151883195
225.26103571675552,-105.08348331364753
225.71906593053734,-99.88035123257963
226.17708096940547,-105.23990382005674
226.6350808190097,-103.42538451735285
227.093065465,-106.24491856063736
227.55103489302633,-103.52315179480725
228.00898908873856,-108.67334445135386
228.46692803778666,-106.48737395821102
228.92485172582047,-105.6641937620283
229.38276013849,-104.18599927737873
229.8406532614451,-104.30527067274986
230.29853108033578,-107.0192031358513
230.75639358081185,-105.3435343687343
231.21424074852328,-108.26274074204966
231.67207256912,-106.77283341845082
232.1298890282519,-104.68263860629892
232.58769011156895,-107.13065803218542
233.04547580472104,-104.3033190224101
233.5032460933581,-107.2714342506615
233.96100096312998,-106.82955023404375
234.41874039968673,-105.54884533089435
234.87646438867816,-105.72285463749641
235.33417291575424,-104.83711689948905
235.79186596656487,-106.63597103230117
236.24954352676,-105.7932532705165
236.7072055819895,-106.36809791729267
237.16485211790337,-104.88208369484394
237.62248312015146,-104.1195197074943
238.08009857438367,-102.81336122538157
238.53769846625,-105.55274929291308
238.9952827814003,-105.32789112531229
239.45285150548455,-105.95162286123488
239.91040462415262,-103.97091587112772
