# Wavelength [nm],one_counts_500avgs_8.0ms
353.87577430089004,331.1476195185596
354.66425350278223,359.83172877288433
355.45265786845994,400.77143934428864
356.24098739792316,455.8292207426466
357.0292420911719,529.0293423831743
357.8174219482062,625.4066503619644
358.60552696902596,749.6122031499513
359.39355715363126,905.9172116452281
360.1815125020221,1097.839219442599
360.96939301419843,1328.9093989351818
361.7571986901603,1598.9253638107264
362.5449295299077,1902.619132491082
363.3325855334406,2239.015345373269
364.120166700759,2590.2407072518986
364.90767303186294,2941.8605599270245
365.6951045267524,3275.9628697455432
366.4824611854274,3580.062230977809
367.2697430078879,3830.1557744988613
368.0569499941339,4023.388059343206
368.84408214416544,4152.187254952505
369.6311394579825,4223.8979671771485
370.4181219355851,4249.255558796764
371.2050295769732,4236.780673242962
371.9918623821468,4188.684470201418
372.7786203511059,4132.499468589983
373.5653034838506,4069.0430542975814
374.35191178038076,4008.154951075582
375.13844524069646,3957.385695927762
375.92490386479767,3921.2648758434725
376.7112876526844,3900.7067183212084
377.49759660435666,3910.980780446375
378.28383071981443,3959.040815278667
379.0699899990577,4056.443188793291
379.85607444208654,4216.245540037659
380.64208404890087,4445.342247431186
381.4280188195007,4764.787514560118
382.2138787538861,5178.629110736885
382.999663852057,5706.140710028576
383.7853741140134,6348.862412711195
384.5710095397553,7109.207147362162
385.3565701292828,7992.830711648575
386.14205588259574,8969.485059611223
386.92746679969423,10007.129131799671
387.71280288057824,11083.065005488766
388.49806412524777,12154.310416548893
389.2832505337028,13153.953729350193
390.0683621059434,14028.528869883645
390.85339884196947,14727.086186650376
391.63836074178107,15222.600935232053
392.4232478053782,15489.880300420393
393.20806003276084,15524.609180818255
393.992797423929,15343.94895646204
394.7774599788827,15004.344877362391
395.5620476976219,14523.59190616488
396.3465605801466,13955.8948627599
397.13099862645686,13348.766191667724
397.9153618365526,12757.257234720002
398.6996502104339,12190.493889409096
399.4838637481007,11694.154456101762
400.268002449553,11265.507327224024
401.05206631479086,10930.518881538295
401.8360553438142,10695.61191938064
402.6199695366231,10551.233518327277
403.4038088932175,10493.666484133088
404.1875734135974,10519.127531381899
404.97126309776286,10626.006005442272
405.7548779457138,10803.488215272875
406.5384179574503,11059.05933751981
407.3218831329723,11376.961088790391
408.1052734722798,11768.887500708106
408.88858897537284,12232.311589328543
409.6718296422514,12759.6469367923
410.45499547291547,13356.030722266823
411.23808646736506,14039.996644205321
412.0211026256002,14785.305890958442
412.8040439476208,15593.812919093112
413.58691043342697,16469.857381325404
414.36970208301864,17405.872115083792
415.15241889639583,18376.245492578593
415.93506087355854,19361.340045961093
416.7176280145068,20323.410573308047
417.5001203192405,21250.918865700067
418.2825377877598,22115.74780192169
419.0648804200646,22873.27499422398
419.8471482161549,23513.86389218547
420.6293411760307,24000.70492328916
421.41145929969207,24356.05832029842
422.19350258713894,24564.226062569764
422.9754710383713,24615.211486105673
423.75736465338923,24551.99204419378
