# Wavelength [nm],zero_counts_500avgs_8ms
207.84478476073983,-97.18142565415629
208.30338098783528,-99.45945544184032
208.76196258532,-100.84384482261368
209.22052953884392,-104.54918847747281
209.67908183405694,-103.66929951210186
210.13761945660903,-106.17598841513139
210.59614239215006,-105.41343436859634
211.05465062633,-104.01539587935105
211.5131441447987,-103.97433607806775
211.97162293320616,-102.61146962141723
212.43008697720222,-102.7972386183475
212.88853626243687,-99.7918595710072
213.34697077456,-101.06675690934803
213.80539049922152,-98.58539384727024
214.26379542207135,-99.79381910562896
214.72218552875944,-104.24612128193992
215.18056080493565,-103.96455469906344
215.63892123624998,-106.79385220586518
216.0972668083523,-101.08630815016183
216.55559750689255,-105.94721116841299
217.01391331752063,-102.52935869287845
217.47221422588646,-101.43240963829177
217.93050021764,-103.88829772415157
218.3887712784311,-102.67795868641913
218.84702739390977,-102.8989031368404
219.3052685497258,-103.72209740795861
219.7634947315293,-104.04667824061185
220.22170592496997,-100.81843531603319
220.67990211569793,-104.13662730726921
221.13808328936295,-105.53074689836926
221.59624943161504,-103.59109345614547
222.0544005281041,-103.47572735794989
222.51253656448003,-104.37516776503914
222.97065752639273,-104.21092575104954
223.42876339949214,-104.94415536574691
223.88685416942823,-101.670958441325
224.34492982185088,-106.14470533127053
224.80299034241003,-101.86258217973858
225.26103571675552,-102.97711437547284
225.71906593053734,-97.29678365365237
226.17708096940547,-102.36511274257694
226.6350808190097,-100.18489610288732
227.093065465,-103.30757349494974
227.55103489302633,-99.58067745459576
228.00898908873856,-106.70781604895402
228.46692803778666,-104.08187390205497
228.92485172582047,-102.50588783758225
229.38276013849,-100.409758115057
229.8406532614451,-100.95922077358594
230.29853108033578,-105.47599796567692
230.75639358081185,-101.77263470343001
231.21424074852328,-105.99415205881074
231.67207256912,-104.5061772486572
232.1298890282519,-102.52348501622185
232.58769011156895,-106.14665251330962
233.04547580472104,-100.92401431142481
233.5032460933581,-105.37432492489587
233.96100096312998,-103.95476692351922
234.41874039968673,-102.48633772070433
234.87646438867816,-102.41398574677677
235.33417291575424,-102.2340916775872
235.79186596656487,-103.12767464253574
236.24954352676,-102.88716632415549
236.7072055819895,-103.44443636819155
237.16485211790337,-102.52544194909001
237.62248312015146,-100.8262548148609
238.08009857438367,-99.51029097572939
238.53769846625,-102.66427458575784
238.9952827814003,-102.92237603582389
239.45285150548455,-103.25673593159026
239.91040462415262,-100.89077219664848
240.36794212305446,-104.83271152312761
240.82546398783998,-101.69246716527742
241.28297020415908,-103.38773373492016
241.74046075766174,-103.81399805495745
242.19793563399782,-105.64806149740782
242.65539481881726,-105.82208657026345
243.11283829777,-102.50783986737068
243.57026605650591,-104.2265697536038
244.02767808067495,-104.27739967346241
244.48507435592703,-101.682693368883
244.9424548679121,-100.05583873678151
245.39981960228,-100.40584965333512
245.85716854468072,-101.87236787203744
246.31450168076415,-101.94080641553148
246.77181899618026,-102.11482577142334
247.22912047657888,-100.17120897861871
247.68640610761,-102.25560312197297
248.1436758749235,-100.6796075153399
248.60092976416936,-100.20444435932838
249.05816776099743,-105.78884773553659
249.5153898510577,-99.36559092934587
249.97259602,-103.55590161775271
250.42978625347433,-102.28102241119657
250.88696053713053,-105.5542107250188
251.34411885661865,-103.4014275091128
251.80126119758845,-100.40780439425558
252.25838754569,-101.9427494752413
252.71549788657313,-101.46369155387829
253.17259220588778,-101.29749544970011
253.62967048928382,-102.89890078735195
254.0867327224113,-102.66231226650437
254.54377889092,-101.88604999610193
255.00080898045994,-100.69915687375223
255.45782297668097,-103.97237576884635
255.91482086523303,-101.63381349273067
256.37180263176606,-103.07684224753018
256.82876826193,-101.84694014986002
257.2857177413747,-99.76252974175432
257.7426510557501,-99.96198911962962
258.19956819070626,-103.18047271958747
258.6564691318929,-101.207539736775
259.11335386496006,-104.98326888447991
259.57022237555753,-103.19612420680973
260.02707464933536,-99.48094926358286
260.4839106719435,-102.97125663127616
260.94073042903176,-98.36247310378808
261.39753390625,-101.77654294724506
261.8543210892483,-101.88018762658373
262.3110919636766,-103.09248950370757
262.7678465151847,-102.16370563197077
263.2245847294225,-97.2811416008036
263.68130659203996,-102.48828836532773
264.1380120886871,-102.74248353327853
264.5947012050138,-102.15979447908886
265.05137392666984,-99.64130438607665
265.5080302393053,-101.47541915422241
265.96467012857,-99.69214565009365
266.4212935801139,-102.41790700866532
266.87790057958694,-100.70305736962364
267.3344911126391,-102.65841163542393
267.7910651649201,-100.78715044246094
268.24762272208005,-102.56259032149845
268.70416376976874,-102.33185776465015
269.16068829363616,-100.58769507166426
269.61719627933223,-102.60168865963709
270.0736877125069,-101.34245823233363
270.53016257880995,-101.13520090215478
270.9866208638915,-101.32486703057815
271.4430625534014,-98.11218214062656
271.89948763298946,-102.80895916599117
272.35589608830566,-100.28461904338656
272.812287905,-99.75666725565176
273.2686630687223,-102.19693972354479
273.7250215651226,-103.08661833330109
274.1813633798506,-99.46727162955985
274.6376884985565,-98.7340103968586
275.09399690688997,-100.15165159961381
275.5502885905011,-102.98885617160528
276.0065635350398,-100.51339256267075
276.4628217261559,-100.02651161570215
276.91906314949927,-97.35740292532154
277.37528779072,-100.58378208912751
277.8314956354679,-98.3253175516483
278.287686669393,-100.43322542763889
278.74386087814503,-100.41171357182937
279.2000182473741,-101.73743730589818
279.65615876273,-99.39296433867204
280.1122824098627,-103.59304867769247
280.5683891744221,-100.09494496453813
281.02447904205826,-100.18294474082604
281.4805519984209,-100.8164708957204
281.93660802916,-98.44460395858712
282.3926471199255,-101.03351856529014
282.8486692563674,-99.26781683193427
283.30467442413544,-102.8500241570228
283.76066260887967,-99.52006984108552
284.21663379624994,-102.90868341536049
284.67258797189635,-101.01788449062526
285.12852512146856,-102.33772112181757
285.58444523061667,-99.57873227744285
286.0403482849905,-102.58997502924291
286.49623427024,-101.52821202486142
286.9521031720151,-101.92905661757193
287.40795497596577,-101.76677750743907
287.86378966774186,-99.0273146237365
288.3196072329933,-100.44494696803058
288.77540765736995,-101.4011236013952
289.23119092652195,-100.42149016177032
289.68695702609904,-99.28150719056721
290.14270594175105,-97.51579595460082
290.5984376591281,-100.74608136429802
291.05415216387996,-103.20589356322384
291.50984944165674,-99.44381278835063
291.9655294781082,-100.59942830139414
292.4211922588842,-101.7178915875904
292.87683776963485,-101.05307425535685
293.33246599601006,-99.65107275732213
293.7880769236595,-99.90331265531405
294.2436705382333,-100.16924531890237
294.6992468253814,-102.15393542769354
295.15480577075374,-103.32712621145723
295.61034736,-101.62208086753182
296.06587157877027,-100.80474442380076
296.52137841271457,-100.76955398587062
296.97686784748265,-100.97681417249737
297.4323398687245,-100.54858696631288
297.88779446208997,-104.2500300187043
298.3432316132291,-99.76448344951959
298.7986513077918,-100.27484480714956
299.25405353142787,-99.1504930989759
299.70943826978726,-100.13209887464077
300.16480550852,-97.1207933615705
300.62015523327597,-101.14692772200395
301.07548742970494,-102.09134785774462
301.5308020834571,-99.94047110233619
301.98609918018207,-102.86958442249932
302.44137870553,-101.95644185466408
302.89664064515074,-96.88028811390305
303.3518849846942,-101.54190787990868
303.8071117098102,-96.7551223401974
304.26232080614886,-100.42540315464207
304.71751225936,-100.85166906583339
305.1726860550935,-98.5853992206939
305.62784217899934,-96.52048202513781
306.0829806167274,-101.83130407556145
306.53810135392763,-101.21733237751982
306.99320437625,-98.0848037408145
307.4482896693443,-97.97922823998135
307.9033572188606,-100.22400325418306
308.3584070104486,-101.11369240535208
308.81343902975846,-100.97095369547253
309.26845326244,-98.64405666838515
309.72344969414314,-98.93540735341338
310.17842831051775,-100.44300032872012
310.6333890972138,-100.1027684495271
311.08833203988127,-100.9983204461029
311.54325712417,-100.14969163748982
311.9981643357299,-97.63898350435515
312.45305366021097,-98.95300129391711
312.907925083263,-101.27793195392876
313.3627785905361,-101.5986205857355
313.81761416767995,-101.66704174417049
314.2724318003447,-102.16175272773383
314.7272314741802,-100.22204113267361
315.18201317483624,-103.63606640832027
315.63677688796287,-100.93378858904491
316.09152259921,-101.80783548411917
316.54625029422755,-98.84154828771136
317.00095995866536,-101.7394016591364
317.4556515781734,-100.09690608680275
317.9103251384017,-98.13761024933261
318.36498062500004,-99.9130986139301
318.8196180236183,-102.38465722534211
319.27423731990655,-100.14969790857057
319.7288384995146,-100.73630155322495
320.18342154809255,-100.17119993069755
320.63798645129,-103.00059915221479
321.0925331947571,-100.88882790489771
321.5470617641438,-99.05077896683115
322.0015721450999,-101.63771910183867
322.45606432327526,-100.86730677865256
322.91053828431995,-99.20916587681953
323.3649940138839,-99.49854941821575
323.81943149761696,-102.82656722553754
324.273850721169,-100.07343456060335
324.72825167019005,-102.18520905787273
325.18263433033,-102.18521609813956
