# Wavelength [nm],one_counts_500avgs_8ms
353.87577430089004,334.14396003408336
354.66425350278223,363.1234100834191
355.45265786845994,401.87519656190443
356.24098739792316,454.78121592245697
357.0292420911719,527.8406990160491
357.8174219482062,622.1466079306681
358.60552696902596,744.097935380252
359.39355715363126,899.4084441538599
360.1815125020221,1089.9462056610496
360.96939301419843,1320.3454065722049
361.7571986901603,1588.8466354817895
362.5449295299077,1897.225638284714
363.3325855334406,2236.886577577261
364.120166700759,2596.7202341495044
364.90767303186294,2959.4829533300945
365.6951045267524,3309.4338197480665
366.4824611854274,3631.114019729909
367.2697430078879,3901.456780188365
368.0569499941339,4117.010261595593
368.84408214416544,4265.334497545355
369.6311394579825,4354.666479085473
370.4181219355851,4393.468311214232
371.2050295769732,4388.045455791957
371.9918623821468,4346.305205705783
372.7786203511059,4287.5747333807485
373.5653034838506,4222.707779445364
374.35191178038076,4160.366836349537
375.13844524069646,4104.691767651217
375.92490386479767,4058.016650308936
376.7112876526844,4031.5396043885003
377.49759660435666,4031.901134742755
378.28383071981443,4064.785617169196
379.0699899990577,4147.291137793818
379.85607444208654,4288.789891142979
380.64208404890087,4500.60948344426
381.4280188195007,4797.38380060914
382.2138787538861,5192.691390320078
382.999663852057,5695.181657218738
383.7853741140134,6313.83736484026
384.5710095397553,7048.2769600036245
385.3565701292828,7908.505307400295
386.14205588259574,8866.38795786636
386.92746679969423,9897.444941677471
387.71280288057824,10975.035927389576
388.49806412524777,12058.442641412395
389.2832505337028,13087.569454669445
390.0683621059434,14002.575334374778
390.85339884196947,14765.731115032022
391.63836074178107,15328.922716573714
392.4232478053782,15672.841096097074
393.20806003276084,15777.538863998174
393.992797423929,15668.435796440877
394.7774599788827,15385.62394326683
395.5620476976219,14946.018714503443
396.3465605801466,14407.847051729475
397.13099862645686,13810.596731556703
397.9153618365526,13221.378606984006
398.6996502104339,12646.445161367945
399.4838637481007,12130.334381419281
400.268002449553,11682.920932245692
401.05206631479086,11324.939505913073
401.8360553438142,11064.549630236543
402.6199695366231,10892.549603054495
403.4038088932175,10808.387176387481
404.1875734135974,10810.50551238176
404.97126309776286,10897.45978547997
405.7548779457138,11059.691609839858
406.5384179574503,11300.012960874692
407.3218831329723,11606.319149741921
408.1052734722798,11988.364224571971
408.88858897537284,12439.242657834262
409.6718296422514,12965.448931829096
410.45499547291547,13555.120394918156
411.23808646736506,14233.837184253898
412.0211026256002,14978.168783952491
412.8040439476208,15793.345223922424
413.58691043342697,16673.911504952448
414.36970208301864,17625.591375630072
415.15241889639583,18606.386294348777
415.93506087355854,19618.35668712769
416.7176280145068,20613.06908067405
417.5001203192405,21580.97334690983
418.2825377877598,22487.769480618495
419.0648804200646,23298.467607970608
419.8471482161549,23989.901884439463
420.6293411760307,24538.161408801978
421.41145929969207,24949.718267973214
422.19350258713894,25203.086430499057
422.9754710383713,25302.087080977308
423.75736465338923,25279.6139421413
424.53918343219266,25150.17446980402
425.3209273747816,24943.11714579341
426.10259648115607,24681.93629746735
426.88419075131605,24409.938001731523
427.66571018526156,24165.444542176196
428.4471547829926,23952.558185859983
429.2285245445091,23813.735177951083
430.0098194698112,23760.49372022119
430.7910395588988,23822.63315019591
431.5721848117719,23996.725075708055
432.3532552284305,24307.917322395526
433.13425080887464,24758.755513092612
433.9151715531043,25327.655688435705
434.6960174611195,26022.38729907978
435.4767885329202,26819.426302300257
436.2574847685064,27698.132057000472
437.03810616787814,28624.86905910957
437.8186527310354,29532.816048399425
438.5991244579782,30394.197085122385
439.3795213487065,31125.538829076213
440.1598434032203,31728.369567337006
440.94009062151963,32115.724938594143
441.7202630036045,32250.485766173897
442.50036054947486,32131.838897271275
443.28038325913076,31784.516440699288
444.0603311325722,31213.909253974947
444.8402041697991,30477.659766300883
445.62000237081156,29632.342845631694
446.39972573560954,28738.157206400687
447.17937426419303,27868.144759128234
447.95894795656204,27090.325088165704
448.7384468127166,26445.863917457285
449.5178708326566,25979.023517483078
450.2972200163822,25723.91346844986
451.0764943638933,25694.90037866257
451.8556938751899,25878.728067121032
452.63481855027203,26302.293051334902
453.4138683891397,26956.864724579034
454.19284339179285,27809.106699970947
454.97174355823154,28875.180225404747
455.75056888845575,30121.984027471877
456.5293193824655,31565.983284591184
457.3079950402607,33161.284310175455
458.0865958618415,34909.659379416975
458.8651218472078,36777.689409828236
459.6435729963596,38749.67036887274
460.4219493092969,40781.58047523362
461.20025078601975,42861.74375870372
461.9784774265281,44940.07533315932
462.756629230822,46950.92516080796
463.5347061989014,48877.7036485373
464.3127083307663,50628.61762467984
465.09063562641677,52150.33860618063
465.86848808585273,53417.436021739566
466.6462657090742,54446.9350672187
467.4239684960812,55142.293395458444
468.20159644687374,55469.87777833036
468.9791495614518,55453.022893211935
469.75662783981534,55141.67646614107
470.5340312819644,54536.518002854005
471.311359887899,53668.324704499784
472.08861365761913,52567.055035800455
472.8657925911248,51318.12734445063
473.64289668841593,49959.96900972533
474.4199259494926,48557.48433986146
475.1968803743548,47139.641543977144
475.9737599630025,45714.42650275071
476.75056471543576,44390.553963751365
477.5272946316545,43157.766129489886
478.3039497116588,42027.42700636297
479.0805299554486,41019.816000145816
479.8570353630239,40132.34083950179
480.63346593438473,39385.66124475247
481.4098216695311,38757.32131999546
482.18610256846296,38246.20669266724
482.96230863118035,37851.528093933885
483.73843985768326,37563.25218752789
484.5144962479717,37365.73050457258
485.29047780204564,37265.82689058862
486.0663845199051,37246.446257118216
486.8422164015501,37311.611673736
487.6179734469806,37443.30938502495
488.39365565619664,37621.70164664586
489.1692630291982,37895.13871367125
489.94479556598526,38203.18910088179
490.72025326655785,38555.830362920715
491.49563613091595,38955.643824759725
492.2709441590596,39390.58209229852
493.0461773509887,39845.329763732116
493.8213357067034,40338.038350336625
494.5964192262036,40836.751562364094
495.3714279094893,41360.256980276485
496.1463617565605,41906.576960872204
496.92122076741725,42455.678448987754
497.6960049420595,43021.41774017521
498.4707142804873,43559.88746385447
499.2453487827006,44121.383384905275
500.0199084486994,44674.42355475677
500.79439327848377,45191.88704454985
501.56880327205363,45714.544511993015
502.343138429409,46250.89495735066
503.1173987505499,46760.7865442908
503.89158423547633,47269.713535167044
504.66569488418827,47741.9867005204
505.43973069668573,48233.465175631885
506.2136916729687,48693.10122518451
506.9875778130372,49122.70017620597
507.7613891168912,49536.278509419346
508.53512558453076,49918.96023539066
509.3087872159558,50278.08143802649
510.0823740111664,50599.682105247055
510.8558859701625,50912.00795612627
511.6293230929441,51190.77320048946
512.4026853795112,51458.0196381711
513.1759728298639,51715.2015656216
513.9491854440021,51972.19057228207
514.7223232219258,52161.11526310735
515.495386163635,52384.45395899425
516.2683742691297,52557.739545126926
517.04128753841,52754.4851396156
517.8141259714757,52935.703910165445
518.586889568327,53113.338612828666
519.3595783289638,53271.24517482132
520.1321922533862,53430.975915065676
520.904731341594,53578.50705796791
521.6771955935874,53742.08115125204
522.4495850093663,53905.596468874464
523.2218995889307,54053.72506233925
523.9941393322806,54215.207569057755
524.7663042394161,54379.46967008878
525.538394310337,54559.97440074937
526.3104095450435,54716.08824974172
527.0823499435355,54867.12712048751
527.854215505813,55033.38501081481
528.6260062318761,55196.215535146635
529.3977221217247,55355.66484454665
530.1693631753587,55498.17889392304
530.9409293927783,55685.70470030089
531.7124207739835,55858.84414455812
532.4838373189741,55989.548168223926
533.2551790277503,56161.51903395556
534.026445900312,56293.55062435991
534.7976379366592,56462.74087118752
535.5687551367919,56612.43406831454
536.3397975007101,56750.67675225157
537.1107650284139,56885.142163921475
537.8816577199032,57048.08471759435
538.652475575178,57199.36665968268
539.4232185942383,57341.73179387692
540.1938867770841,57494.04569402361
540.9644801237155,57656.6356895044
541.7349986341324,57785.29024426845
542.5054423083348,57921.03952173169
543.2758111463227,58053.359956338325
544.0461051480961,58173.73230511984
544.8163243136551,58290.65808581513
545.5864686429995,58384.093437311094
546.3565381361295,58460.79951125814
547.126532793045,58530.20953695282
547.8964526137461,58572.78069151956
548.6662975982326,58604.64129733079
549.4360677465047,58640.860810025246
550.2057630585623,58629.96349214149
550.9753835344054,58620.49106662712
551.744929174034,58623.100572562194
552.5143999774482,58599.89037920953
553.2837959446479,58547.57482925694
554.053117075633,58502.7469336718
554.8223633704038,58443.77821385813
555.59153482896,58381.890972123874
556.3606314513017,58300.56494992985
557.129653237429,58205.17793514873
557.8986001873418,58100.21377709049
558.6674723010401,57997.00648353779
559.4362695785239,57862.13843505327
560.2049920197933,57753.55482011678
560.9736396248481,57617.79788052601
561.7422123936885,57467.49067944021
562.5107103263144,57335.08306766693
563.2791334227259,57178.26218670613
564.0474816829228,57065.35441829349
564.8157551069053,56915.87479567033
565.5839536946733,56744.775231120526
566.3520774462268,56615.18011704291
567.1201263615658,56476.24355522791
567.8881004406903,56316.02069058474
568.6559996836004,56177.91322452847
569.423824090296,56033.48529984455
570.1915736607771,55891.95877705869
570.9592483950437,55765.107298764044
571.7268482930958,55626.712069505564
572.4943733549335,55520.3692854578
573.2618235805567,55390.92250780138
574.0291989699654,55278.01419047699
574.7964995231596,55170.732072081155
