# Wavelength [nm],shape_counts_500avgs_8ms
353.87577430089004,156.7742319834834
354.66425350278223,159.18114182304672
355.45265786845994,161.68247629173229
356.24098739792316,163.59313397788824
357.0292420911719,166.29738943861906
357.8174219482062,168.60786066053578
358.60552696902596,171.16947213674115
359.39355715363126,173.52816464235187
360.1815125020221,177.2550593716593
360.96939301419843,181.345602420998
361.7571986901603,185.9444496180059
362.5449295299077,188.43373294876596
363.3325855334406,191.27862892876502
364.120166700759,195.35309736991323
364.90767303186294,199.66866001245177
365.6951045267524,203.0781168469302
366.4824611854274,208.08883222384486
367.2697430078879,212.62741026221985
368.0569499941339,217.38497976656504
368.84408214416544,222.4157888793504
369.6311394579825,227.77006408602352
370.4181219355851,233.39958809213735
371.2050295769732,239.0692964159015
371.9918623821468,245.66520036217472
372.7786203511059,251.42330961594473
373.5653034838506,258.0975742376552
374.35191178038076,264.53878242567583
375.13844524069646,272.63951780588445
375.92490386479767,279.9506731683949
376.7112876526844,287.5772603228656
377.49759660435666,295.94520732950707
378.28383071981443,303.9977289272522
379.0699899990577,312.227051143727
379.85607444208654,322.39717570058
380.64208404890087,331.19507886377943
381.4280188195007,340.9573580032382
382.2138787538861,350.55288319394566
382.999663852057,361.06657263273416
383.7853741140134,371.27287034298524
384.5710095397553,382.4736828314706
385.3565701292828,393.32289575118074
386.14205588259574,404.96973303942497
386.92746679969423,416.43575007870174
387.71280288057824,428.49244682541723
388.49806412524777,440.3221175091877
389.2832505337028,453.4496768927341
390.0683621059434,466.69979338008596
390.85339884196947,480.09456676613655
391.63836074178107,494.0197483416263
392.4232478053782,507.9931500946538
393.20806003276084,523.4010602265676
393.992797423929,537.7742788943891
394.7774599788827,553.2705934588406
395.5620476976219,569.2651670817742
396.3465605801466,585.4948099767955
397.13099862645686,601.6661891426419
397.9153618365526,619.7522530820772
398.6996502104339,638.4551169579559
399.4838637481007,655.8399999896736
400.268002449553,673.3635112228181
401.05206631479086,691.9659162858683
401.8360553438142,712.2780775709298
402.6199695366231,732.150239141084
403.4038088932175,752.665315688814
404.1875734135974,774.1628429321828
404.97126309776286,794.5031196823666
405.7548779457138,816.8042846403961
406.5384179574503,839.1677252904674
407.3218831329723,861.7099730481505
408.1052734722798,885.0096493204967
408.88858897537284,909.2515891622078
409.6718296422514,934.6005377536377
410.45499547291547,959.5717651794007
411.23808646736506,985.3044303227839
412.0211026256002,1012.3369765428928
412.8040439476208,1037.834549022953
413.58691043342697,1064.1879843430263
414.36970208301864,1094.0191615812562
415.15241889639583,1120.8125547187
415.93506087355854,1151.194180636657
416.7176280145068,1181.6039079316492
417.5001203192405,1210.5610310002826
418.2825377877598,1242.1821873802471
419.0648804200646,1271.900699312947
419.8471482161549,1302.9793358315953
420.6293411760307,1335.7937887769785
421.41145929969207,1367.7824687574434
422.19350258713894,1400.2090873870873
422.9754710383713,1433.3408511341422
423.75736465338923,1466.9447023438056
424.53918343219266,1500.7172650259859
425.3209273747816,1537.6781740775982
426.10259648115607,1574.3396666591402
426.88419075131605,1610.882560674483
427.66571018526156,1648.64488699416
428.4471547829926,1688.46239835415
429.2285245445091,1727.1527518855266
430.0098194698112,1765.5617510310065
430.7910395588988,1806.3071875521066
431.5721848117719,1846.3031504884627
432.3532552284305,1888.2578201569627
433.13425080887464,1928.838218118515
433.9151715531043,1973.7117681734492
434.6960174611195,2015.5977977023385
435.4767885329202,2061.0597267644325
436.2574847685064,2106.1679417104056
437.03810616787814,2151.9269164589764
437.8186527310354,2199.24069029683
438.5991244579782,2244.9872910855333
439.3795213487065,2293.0962882408244
440.1598434032203,2341.096611256241
440.94009062151963,2391.1197714826567
441.7202630036045,2439.650055905381
442.50036054947486,2489.06209151698
443.28038325913076,2541.0392930562816
444.0603311325722,2591.2504274734865
444.8402041697991,2644.2617387519704
445.62000237081156,2697.4475666596286
446.39972573560954,2749.072202324281
447.17937426419303,2803.6516574370094
447.95894795656204,2858.7912750499618
448.7384468127166,2912.6288679060694
449.5178708326566,2968.979203273438
450.2972200163822,3026.522462194707
451.0764943638933,3083.9990637035826
451.8556938751899,3141.5294876345956
452.63481855027203,3197.2275966694615
453.4138683891397,3258.5559396445165
454.19284339179285,3319.1767459781277
454.97174355823154,3379.931722050168
455.75056888845575,3440.5094807580595
456.5293193824655,3500.887899697952
457.3079950402607,3564.3793746121833
458.0865958618415,3627.325980428245
458.8651218472078,3691.648079352401
459.6435729963596,3755.3589141329367
460.4219493092969,3820.137820948367
461.20025078601975,3885.0668118359645
461.9784774265281,3955.020777218298
462.756629230822,4020.9890195261896
463.5347061989014,4092.897946731302
464.3127083307663,4160.308956443295
465.09063562641677,4228.452529607537
465.86848808585273,4297.872746886884
466.6462657090742,4371.1565833657
467.4239684960812,4443.286768627295
468.20159644687374,4515.4984499605125
468.9791495614518,4584.877469415227
469.75662783981534,4659.710557695986
470.5340312819644,4732.9701391951085
471.311359887899,4808.02441468516
472.08861365761913,4884.788665609718
472.8657925911248,4959.593971780981
473.64289668841593,5037.800397216595
474.4199259494926,5119.891659644297
475.1968803743548,5200.636236385913
475.9737599630025,5282.4821818644805
476.75056471543576,5364.433388791781
477.5272946316545,5445.738770557413
478.3039497116588,5533.864435946073
479.0805299554486,5619.591126307626
479.8570353630239,5706.011328167244
480.63346593438473,5795.020226524455
481.4098216695311,5882.09008813977
482.18610256846296,5967.435659806496
482.96230863118035,6055.928322419606
483.73843985768326,6146.59185473887
484.5144962479717,6237.669497434386
485.29047780204564,6328.263551270231
486.0663845199051,6419.821911595009
486.8422164015501,6516.955784097243
487.6179734469806,6611.827210689773
488.39365565619664,6702.611297301575
489.1692630291982,6802.951843995297
489.94479556598526,6894.930860390468
490.72025326655785,6990.840706787319
491.49563613091595,7090.125407827672
492.2709441590596,7184.537911595099
493.0461773509887,7274.576378321605
493.8213357067034,7367.953137840489
494.5964192262036,7457.333934706612
495.3714279094893,7552.40141038821
496.1463617565605,7645.234640587373
496.92122076741725,7739.105954991511
497.6960049420595,7834.03711561966
498.4707142804873,7929.239165742557
499.2453487827006,8027.662579314467
500.0199084486994,8132.24137640122
500.79439327848377,8228.663390500858
501.56880327205363,8332.811949748688
502.343138429409,8442.529036630955
503.1173987505499,8555.799498256556
503.89158423547633,8670.560188513093
504.66569488418827,8788.99805929811
505.43973069668573,8914.128980808902
506.2136916729687,9037.443771941302
506.9875778130372,9164.369402025804
507.7613891168912,9294.62398941436
508.53512558453076,9421.642204532682
509.3087872159558,9554.773710713987
510.0823740111664,9681.3122847176
510.8558859701625,9808.014059928648
511.6293230929441,9938.270681655411
512.4026853795112,10066.00124416153
