# Wavelength [nm],one_counts_50avgs_60.0ms
204.6342027473783,0.9182927725674119
205.09290097994656,-0.39100486110064026
205.55158468335466,0.23458694155723947
206.01025384325246,1.2126879433535578
206.46890844529,-2.8216502990119352e-05
206.9275484751171,3.5796851522321873
207.38617391838378,7.648453671423596
207.84478476073983,7.335642279984384
208.30338098783528,8.078674032008493
208.76196258532,6.024663679769844
209.22052953884392,7.589169877112937
209.67908183405694,7.902272702962634
210.13761945660903,8.70418344451393
210.59614239215006,7.804935897462705
211.05465062633,6.768061110927853
211.5131441447987,6.591779321791854
211.97162293320616,6.415947278591034
212.43008697720222,7.980876242286591
212.88853626243687,6.513873158950091
213.34697077456,9.272122405194331
213.80539049922152,10.347746437591717
214.26379542207135,7.31577840688324
214.72218552875944,5.418213779930838
215.18056080493565,7.843844872808646
215.63892123624998,8.762802333545885
216.0972668083523,4.909866856091519
216.55559750689255,5.809213744882847
217.01391331752063,6.337876279768217
217.47221422588646,8.333655456318176
217.93050021764,8.469701935361108
218.3887712784311,5.751237099396178
218.84702739390977,8.548272678913264
219.3052685497258,8.997573390285126
219.7634947315293,7.472243297685871
220.22170592496997,8.997919241224125
220.67990211569793,8.547667215054467
221.13808328936295,7.43283606966947
221.59624943161504,8.860818002423471
222.0544005281041,10.719055651985535
222.51253656448003,8.76299702684804
222.97065752639273,9.975720332212013
223.42876339949214,6.572383804078989
223.88685416942823,6.8462141766601405
224.34492982185088,7.589471475585725
224.80299034241003,6.9441840017727685
225.26103571675552,9.291231806729066
225.71906593053734,6.828378300839713
226.17708096940547,11.013028074890293
226.6350808190097,7.335810064832316
227.093065465,9.095398017537384
227.55103489302633,9.506843630780004
228.00898908873856,8.547673870492495
228.46692803778666,6.846378890018855
228.92485172582047,7.237868540788469
229.38276013849,6.846631659719179
229.8406532614451,9.390994859003907
230.29853108033578,8.567421697827875
230.75639358081185,7.66770293921995
231.21424074852328,6.533054041257174
231.67207256912,7.589606281770301
232.1298890282519,6.8271224477405
232.58769011156895,5.965655838849038
233.04547580472104,8.039434952941896
233.5032460933581,8.509126546147833
233.96100096312998,7.804480551385296
234.41874039968673,8.215525781051973
234.87646438867816,7.393969354892093
235.33417291575424,8.235604663556622
235.79186596656487,6.650560973888119
236.24954352676,8.254903343195863
236.7072055819895,7.922268383514613
237.16485211790337,8.587320507929448
237.62248312015146,6.689768602257651
238.08009857438367,6.416059563204193
238.53769846625,9.467763297879571
238.9952827814003,5.926855383156671
239.45285150548455,5.8879295058990735
239.91040462415262,9.076455079759477
240.36794212305446,9.115511969952514
240.82546398783998,10.269997788085448
241.28297020415908,7.335040189372961
241.74046075766174,9.66266302769089
242.19793563399782,7.687061515961496
242.65539481881726,6.55265064744772
243.11283829777,7.081855023286565
243.57026605650591,6.96349580204614
244.02767808067495,7.902722088143214
244.48507435592703,7.589657785621213
244.9424548679121,8.509319250243848
245.39981960228,6.924607116729796
245.85716854468072,8.09823495438711
246.31450168076415,7.707404460223209
246.77181899618026,8.372694872243954
247.22912047657888,6.475143487417718
247.68640610761,7.902791034633175
248.1436758749235,8.978587962117444
248.60092976416936,8.509118047389883
249.05816776099743,7.784789458869369
249.5153898510577,8.939859456588401
249.97259602,10.640599538060634
250.42978625347433,7.198763539528315
250.88696053713053,9.33023318343119
251.34411885661865,9.154615283469283
251.80126119758845,9.487681801752345
252.25838754569,9.310935997939467
252.71549788657313,7.9809224989535466
253.17259220588778,8.176723967810013
253.62967048928382,9.096138234366997
254.0867327224113,9.05676577105482
254.54377889092,7.237863642666703
255.00080898045994,8.880761188832139
255.45782297668097,7.882718052567938
255.91482086523303,7.961625789369087
256.37180263176606,8.371839664386492
256.82876826193,10.15215215580939
257.2857177413747,5.3990303552373575
257.7426510557501,8.333232010399684
258.19956819070626,10.015325925984015
258.6564691318929,7.531224847384848
259.11335386496006,9.506513588919596
259.57022237555753,8.450152102601336
260.02707464933536,8.137676330212756
260.4839106719435,8.332847419015813
260.94073042903176,7.218689642947034
261.39753390625,6.905121502565741
261.8543210892483,9.545846430829336
262.3110919636766,9.232691890236374
262.7678465151847,10.406588552573758
263.2245847294225,8.900520894517555
263.68130659203996,9.252448974905555
264.1380120886871,6.14255765913331
264.5947012050138,8.117965053225191
265.05137392666984,8.07904640889204
265.5080302393053,9.428373208534886
265.96467012857,9.663381706106257
266.4212935801139,8.19641614982907
266.87790057958694,9.858861479025244
267.3344911126391,10.836991125151862
267.7910651649201,7.707327711676591
268.24762272208005,9.99597174787096
268.70416376976874,9.19406443954287
269.16068829363616,7.844018203953425
269.61719627933223,10.347380473401685
270.0736877125069,7.707065821357546
270.53016257880995,10.406592470623046
270.9866208638915,8.685006338055445
271.4430625534014,8.78328590617059
271.89948763298946,7.315815554231747
