# Wavelength [nm],zero_counts_50avgs_60.0ms
204.6342027473783,-200.88846523470303
205.09290097994656,-119.54450382750667
205.55158468335466,-132.5841209959023
206.01025384325246,-66.92279622441016
206.46890844529,-57.47554567934312
206.9275484751171,-52.076825927422185
207.38617391838378,-55.12834895832765
207.84478476073983,-50.35543098952427
208.30338098783528,-57.5147321064904
208.76196258532,-57.45593198530074
209.22052953884392,-64.18449444796461
209.67908183405694,-61.778686701451534
210.13761945660903,-62.893567154094036
210.59614239215006,-54.85446257018323
211.05465062633,-56.47798268503766
211.5131441447987,-60.135684897369664
211.97162293320616,-55.617255934182275
212.43008697720222,-56.16501666798556
212.88853626243687,-53.21133878504919
213.34697077456,-54.99141199049911
213.80539049922152,-56.81045390281722
214.26379542207135,-56.94743221717619
214.72218552875944,-57.49505996107626
215.18056080493565,-57.63199858663564
215.63892123624998,-63.8128538016532
216.0972668083523,-51.68557554199889
216.55559750689255,-64.0475685303381
217.01391331752063,-52.820137965996395
217.47221422588646,-45.758472269679736
217.93050021764,-60.25309607049333
218.3887712784311,-49.26003240397867
218.84702739390977,-54.91316035320343
219.3052685497258,-62.75667144744011
219.7634947315293,-56.84960831680669
220.22170592496997,-58.23839071884273
220.67990211569793,-63.30433050491114
221.13808328936295,-60.93762710363534
221.59624943161504,-61.270179805753116
222.0544005281041,-61.42661541489003
222.51253656448003,-61.99387792520932
222.97065752639273,-61.974312132205114
223.42876339949214,-57.55379517122443
223.88685416942823,-56.556155112171865
224.34492982185088,-58.80563441881281
224.80299034241003,-54.58059518491667
225.26103571675552,-60.52690458561422
225.71906593053734,-27.310270156222085
226.17708096940547,-55.71513820376012
226.6350808190097,-48.10586886733232
227.093065465,-62.639329783605035
227.55103489302633,-54.756640237663404
228.00898908873856,-63.89114061186887
228.46692803778666,-54.87402998059711
228.92485172582047,-50.472826770994835
229.38276013849,-50.68801191188846
229.8406532614451,-31.61433377298024
230.29853108033578,-61.13328255136949
230.75639358081185,-59.19683747230633
231.21424074852328,-61.79827398797328
231.67207256912,-56.2823445982373
232.1298890282519,-49.749037689118865
232.58769011156895,-63.8911016043157
233.04547580472104,-58.3948744371256
233.5032460933581,-54.9326633903836
233.96100096312998,-61.75913836579252
234.41874039968673,-56.79090822471122
234.87646438867816,-57.103914896203854
235.33417291575424,-50.68801380729954
235.79186596656487,-58.96211379665987
236.24954352676,-54.79581952277026
236.7072055819895,-54.306755988818594
237.16485211790337,-56.380203302712786
237.62248312015146,-56.71271348372497
238.08009857438367,-53.77862089125713
238.53769846625,-53.71999841706296
238.9952827814003,-57.35816790221985
239.45285150548455,-53.9351478214848
239.91040462415262,-54.38502821161566
240.36794212305446,-55.44130602775498
240.82546398783998,-51.74432152224127
241.28297020415908,-61.1332162698745
241.74046075766174,-62.93272389416421
242.19793563399782,-62.87406735099148
242.65539481881726,-59.58799702965141
243.11283829777,-42.58942925039273
243.57026605650591,-59.02077177504458
244.02767808067495,-55.03050412298921
244.48507435592703,-56.59536139327488
244.9424548679121,-51.95947199171017
245.39981960228,-54.54145733705059
245.85716854468072,-56.06721191911229
246.31450168076415,-49.53388434246236
246.77181899618026,-46.658287901321046
247.22912047657888,-44.76076070416714
247.68640610761,-53.23089561561326
248.1436758749235,-56.65404972459481
248.60092976416936,-55.16744519571794
249.05816776099743,-64.22365358639752
249.5153898510577,-49.86642395974714
249.97259602,-64.14538516498811
250.42978625347433,-50.76625753014748
250.88696053713053,-61.09413012452832
251.34411885661865,-55.49995949535596
251.80126119758845,-48.868826869031764
252.25838754569,-58.746979775565606
252.71549788657313,-55.85203905933808
253.17259220588778,-51.97900937882084
253.62967048928382,-52.937488525519555
254.0867327224113,-55.245640365118824
254.54377889092,-50.922749117817546
255.00080898045994,-55.10875440723521
255.45782297668097,-62.75668710900831
255.91482086523303,-51.35305632080204
256.37180263176606,-59.54887261240761
256.82876826193,-57.45598018818382
257.2857177413747,-49.92511610696448
257.7426510557501,-52.93753863340369
258.19956819070626,-55.695579163298234
258.6564691318929,-51.86165439600784
259.11335386496006,-58.19926312702738
259.57022237555753,-58.47309806489153
260.02707464933536,-51.37261692950599
260.4839106719435,-58.64918188244084
260.94073042903176,-44.70216054530602
261.39753390625,-53.661197807028465
261.8543210892483,-55.832492285462685
262.3110919636766,-57.905875229226396
262.7678465151847,-55.51953932248892
263.2245847294225,-52.83972441241788
263.68130659203996,-55.24563030080655
264.1380120886871,-46.16926686160169
264.5947012050138,-55.10876832752507
265.05137392666984,-50.66842727482499
265.5080302393053,-56.34105792885484
265.96467012857,-54.05249232295062
266.4212935801139,-50.60975586968398
266.87790057958694,-55.89122045423899
267.3344911126391,-55.26523255483436
267.7910651649201,-50.68796913590465
268.24762272208005,-52.800557915182395
268.70416376976874,-50.76622561384942
269.16068829363616,-54.678422546822084
269.61719627933223,-61.700471996799436
270.0736877125069,-55.10877325030333
270.53016257880995,-55.852075843195756
270.9866208638915,-57.651601177702524
271.4430625534014,-50.5119503728869
271.89948763298946,-55.96939217395785
272.35589608830566,-50.746670734132664
272.812287905,-53.817772674367134
273.2686630687223,-56.125858933941885
273.7250215651226,-60.507338419509885
274.1813633798506,-49.3773869025551
274.6376884985565,-48.51666493496805
275.09399690688997,-55.59776898247491
275.5502885905011,-57.65158564766332
276.0065635350398,-48.047250119126694
276.4628217261559,-52.66368829852429
276.91906314949927,-53.4656677363503
277.37528779072,-59.05988407759329
277.8314956354679,-42.19814379604102
