Wavelength [nm]	AM1.5G	Snaith Wavelabs
207.84478476073983	4.7309e-23	0.014974333944139195
208.30338098783528	4.7309e-23	0.01541006755447322
208.76196258532	4.7309e-23	0.014831891419033471
209.22052953884392	4.7309e-23	0.015196240117217017
209.67908183405692	4.7309e-23	0.014518965125864867
210.13761945660903	4.7309e-23	0.015174436434828707
210.59614239215009	4.7309e-23	0.0149809125630087
211.05465062633	4.7309e-23	0.01501198156464464
211.5131441447987	4.7309e-23	0.014475695003190335
211.97162293320616	4.7309e-23	0.014790519595489405
212.43008697720225	4.7309e-23	0.015398025323421107
212.88853626243687	4.7309e-23	0.015044087124932236
213.34697077456	4.7309e-23	0.014263650264522854
213.80539049922152	4.7309e-23	0.014880515693740595
214.26379542207133	4.7309e-23	0.015348412704758594
214.72218552875944	4.7309e-23	0.014633457930064079
215.18056080493565	4.7309e-23	0.014843921493552372
215.63892123625	4.7309e-23	0.015116888363938518
216.0972668083523	4.7309e-23	0.01470917015327494
216.55559750689252	4.7309e-23	0.015234902569324481
217.01391331752063	4.7309e-23	0.015052452089230624
217.4722142258865	4.7309e-23	0.01522760310129923
217.93050021764	4.7309e-23	0.015081536926877012
218.3887712784311	4.7309e-23	0.015613901112356627
218.84702739390977	4.7309e-23	0.015164526763719826
219.3052685497258	4.7309e-23	0.015252392418493627
219.7634947315293	4.7309e-23	0.014992851799732948
220.22170592497	4.7309e-23	0.01559478584285578
220.67990211569796	4.7309e-23	0.01484739906257966
221.13808328936292	4.7309e-23	0.015295703195119748
221.59624943161504	4.7309e-23	0.015379126199918566
222.0544005281041	4.7309e-23	0.015221464840467762
222.51253656448003	4.7309e-23	0.014997147427202671
222.97065752639276	4.7309e-23	0.015465311977636774
223.4287633994921	4.7309e-23	0.0154247348206311
223.88685416942823	4.7309e-23	0.016173289897314577
224.34492982185088	4.7309e-23	0.01495453787110514
224.80299034241003	4.7309e-23	0.014906004308945805
225.26103571675552	4.7309e-23	0.015159907032169129
225.7190659305373	4.7309e-23	0.016161979918996042
226.17708096940547	4.7309e-23	0.01582011047219197
226.6350808190097	4.7309e-23	0.016045597996498757
227.093065465	4.7309e-23	0.015418157911390621
227.55103489302635	4.7309e-23	0.0151321223069849
228.00898908873856	4.7309e-23	0.015293975801493697
228.46692803778663	4.7309e-23	0.015476155960755357
228.92485172582047	4.7309e-23	0.015077872535384767
229.38276013849	4.7309e-23	0.01572807618569624
229.8406532614451	4.7309e-23	0.01601934252012729
230.29853108033575	4.7309e-23	0.015365667781213415
230.75639358081185	4.7309e-23	0.015250958638768497
231.21424074852328	4.7309e-23	0.015645020052829868
231.67207256912	4.7309e-23	0.016176182336281854
232.1298890282519	4.7309e-23	0.015450760260864576
232.58769011156892	4.7309e-23	0.015274739189523753
233.04547580472104	4.7309e-23	0.01507247507295496
233.5032460933581	4.7309e-23	0.015834372723425902
233.96100096313	4.7309e-23	0.015796816935300998
234.41874039968675	4.7309e-23	0.015633263089615438
234.87646438867816	4.7309e-23	0.01567640240920128
235.33417291575424	4.7309e-23	0.015330516297295866
235.79186596656487	4.7309e-23	0.015483253749090705
236.24954352676	4.7309e-23	0.015283343006913369
236.7072055819895	4.7309e-23	0.01604204647842248
237.16485211790337	4.7309e-23	0.015547643216007781
237.62248312015143	4.7309e-23	0.01594919627571848
238.08009857438367	4.7309e-23	0.015967557300184225
238.53769846625	4.7309e-23	0.01594289906916996
238.9952827814003	4.7309e-23	0.015880143719087046
239.45285150548452	4.7309e-23	0.01593076159137888
239.91040462415265	4.7309e-23	0.015829595890652498
240.3679421230545	4.7309e-23	0.015709589517289645
240.82546398784	4.7309e-23	0.016185661844883476
241.28297020415908	4.7309e-23	0.015947147094086137
241.7404607576617	4.7309e-23	0.0160427743644385
242.19793563399784	4.7309e-23	0.01623623123360611
242.65539481881729	4.7309e-23	0.015376625952767975
243.11283829777	4.7309e-23	0.016360037575446348
243.57026605650591	4.7309e-23	0.01580664976415376
244.02767808067492	4.7309e-23	0.01602494202162996
244.48507435592705	4.7309e-23	0.016355752996289972
244.9424548679121	4.7309e-23	0.01622785767489364
245.39981960228	4.7309e-23	0.016512509962236775
245.85716854468072	4.7309e-23	0.016434049530655886
246.31450168076412	4.7309e-23	0.015966677951783196
246.77181899618023	4.7309e-23	0.01619852762486739
247.22912047657888	4.7309e-23	0.016317904603386012
247.68640610761	4.7309e-23	0.015986677923927946
248.1436758749235	4.7309e-23	0.016697214180912374
248.60092976416936	4.7309e-23	0.01664498906486224
249.05816776099743	4.7309e-23	0.016578763417823505
249.5153898510577	4.7309e-23	0.01663162031007599
249.97259602	4.7309e-23	0.016735051530469537
250.42978625347436	4.7309e-23	0.0169446518565688
250.88696053713053	4.7309e-23	0.016692363049668844
251.34411885661865	4.7309e-23	0.01660098440294426
251.80126119758845	4.7309e-23	0.01614568150845895
252.25838754569	4.7309e-23	0.016582679700299082
252.71549788657316	4.7309e-23	0.01643838020066292
253.17259220588775	4.7309e-23	0.01633826910477928
253.62967048928385	4.7309e-23	0.015998024446761253
254.0867327224113	4.7309e-23	0.016361951791986722
254.54377889092	4.7309e-23	0.01674821958476386
255.00080898045996	4.7309e-23	0.017036677207600825
255.45782297668097	4.7309e-23	0.016523174298621476
255.91482086523305	4.7309e-23	0.01658599554068647
256.37180263176606	4.7309e-23	0.01701551414766249
256.82876826193	4.7309e-23	0.017650822732792247
257.2857177413747	4.7309e-23	0.016501871857395562
257.7426510557501	4.7309e-23	0.016587297524152767
258.19956819070626	4.7309e-23	0.016627818312287004
258.6564691318929	4.7309e-23	0.01666545832497306
259.11335386496006	4.7309e-23	0.01704847423488288
259.57022237555753	4.7309e-23	0.017625375086934503
260.02707464933536	4.7309e-23	0.016745761228844823
260.4839106719435	4.7309e-23	0.01692277358292348
260.94073042903176	4.7309e-23	0.016917499802338865
261.39753390625	4.7309e-23	0.017621121627798875
261.8543210892483	4.7309e-23	0.017065756884667983
262.3110919636766	4.7309e-23	0.017441072946819805
262.7678465151847	4.7309e-23	0.016690879283192205
263.2245847294225	4.7309e-23	0.017061787541299507
263.68130659204	4.7309e-23	0.017379794129913605
264.1380120886871	4.7309e-23	0.017170178917840766
264.5947012050138	4.7309e-23	0.016563658309389887
265.05137392666984	4.7309e-23	0.017806751762140693
265.5080302393053	4.7309e-23	0.01694104467281291
265.96467012857	4.7309e-23	0.017325687626472887
266.4212935801139	4.7309e-23	0.016793788201312644
266.87790057958694	4.7309e-23	0.017532062305637412
267.3344911126391	4.7309e-23	0.016957517248877944
267.7910651649201	4.7309e-23	0.017242312549318767
268.24762272208005	4.7309e-23	0.016922539153425478
268.70416376976874	4.7309e-23	0.01765776129081116
269.16068829363616	4.7309e-23	0.01741999692366716
269.61719627933223	4.7309e-23	0.017916303516597447
270.0736877125069	4.7309e-23	0.017522275483272055
270.53016257880995	4.7309e-23	0.016773668189380895
270.9866208638915	4.7309e-23	0.01687728910620082
271.4430625534014	4.7309e-23	0.017125651653508163
271.89948763298946	4.7309e-23	0.017425046267958096
272.35589608830566	4.7309e-23	0.01753695729505645
272.812287905	4.7309e-23	0.0181169132690058
273.2686630687223	4.7309e-23	0.017507125026239034
273.7250215651226	4.7309e-23	0.017494398284117002
274.1813633798506	4.7309e-23	0.017889392606067207
274.6376884985565	4.7309e-23	0.017599441248587644
275.09399690689	4.7309e-23	0.017503182397859564
275.5502885905011	4.7309e-23	0.017629882788001372
276.0065635350398	4.7309e-23	0.01749641187694762
276.4628217261559	4.7309e-23	0.017188763040675938
276.91906314949927	4.7309e-23	0.017886105600648166
277.37528779072	4.7309e-23	0.017911302421182215
277.8314956354679	4.7309e-23	0.017845244529634544
278.287686669393	4.7309e-23	0.017853278774398188
278.74386087814503	4.7309e-23	0.0168639865127925
279.2000182473741	4.7309e-23	0.018073338247262913
279.65615876273	4.7309e-23	0.01849184661167759
280.0	4.7309e-23	0.018188061967637923
280.1122824098627	3.1305698657966234e-22	0.018088860161063244
280.5	1.2306999999999998e-21	0.017498934573775975
280.5683891744221	1.840567301826722e-21	0.017394878103522006
281.0	5.689499999999999e-21	0.017510192962577262
281.02447904205826	1.3078768114748526e-20	0.01751673310734999
281.4805519984209	1.5074940679532485e-19	0.018464548591069135
281.5	1.5662e-19	0.018438983927614436
281.93660802916	1.0630008042150495e-18	0.017865056715520865
282.0	1.1946e-18	0.01783135180393354
282.3926471199255	3.8245504092611834e-18	0.017622585042358703
282.5	4.5436e-18	0.017612609789761997
282.8486692563674	1.4242462970519934e-17	0.01758021136782346
283.0	1.8452e-17	0.01758833825358767
283.30467442413544	2.87548703265641e-17	0.017604700125476935
283.5	3.536e-17	0.017900340584249174
283.76066260887967	3.9577297604574234e-16	0.01829487372683871
284.0	7.267e-16	0.01786930357662771
284.21663379624994	1.4887743684480281e-15	0.01748410309968045
284.5	2.4856e-15	0.018106600524800627
284.67258797189635	4.393939722852303e-15	0.018485740897542294
285.0	8.0142e-15	0.017964925440622757
285.12852512146856	1.6907829945332542e-14	0.017760480080899768
285.5	4.2613e-14	0.018028473543968953
285.58444523061667	5.852704149063315e-14	0.01808939494431264
286.0	1.3684e-13	0.018200927016045518
286.0403482849905	1.9343976721897408e-13	0.018211756221116458
286.49623427024	8.329475096072603e-13	0.01874929434350502
286.5	8.3823e-13	0.018740116642144717
286.9521031720151	2.55483861795096e-12	0.017638267024344702
287.0	2.7367e-12	0.017651169203821166
287.40795497596577	9.399665440458459e-12	0.017761061832199058
287.5	1.0903e-11	0.01772107278101377
287.86378966774186	4.832531554126917e-11	0.01756302400220528
288.0	6.2337e-11	0.01769733913059596
288.3196072329933	1.3219227448641182e-10	0.018012499411188532
288.5	1.7162e-10	0.017857414852813103
288.77540765736995	3.8700531252274586e-10	0.017620645520953795
289.0	5.6265e-10	0.017693121593078193
289.23119092652195	1.2618869572656285e-09	0.017767727031842914
289.5	2.0749e-09	0.017555392878334863
289.68695702609904	3.548831802359589e-09	0.017407714225358282
290.0	6.0168e-09	0.017851385629656075
290.14270594175105	8.233365769653952e-09	0.018053640753894568
290.5	1.3783e-08	0.017647597819383284
290.5984376591281	1.7970341143990295e-08	0.01753572941559657
291.0	3.5052e-08	0.017766339242440022
291.05415216388	4.307496799180811e-08	0.01779743782879763
291.5	1.0913e-07	0.017582399397072575
291.50984944165674	1.1226547125700677e-07	0.017577648878362728
291.9655294781082	2.5732665406095824e-07	0.018094310937279076
292.0	2.683e-07	0.01805418824454143
292.4211922588842	4.018600652921857e-07	0.017563932609894455
292.5	4.2685e-07	0.0176264795826691
292.87683776963485	7.568166878476644e-07	0.017925562659840168
293.0	8.6466e-07	0.018011732749175766
293.33246599601006	1.7995809780599627e-06	0.01824434159762141
293.5	2.2707e-06	0.018153661108539457
293.7880769236595	3.3675240791411912e-06	0.017997734814721292
294.0	4.1744e-06	0.01806232979412128
294.2436705382333	5.352157179496779e-06	0.018136601523606157
294.5	6.5911e-06	0.017933984582763157
294.6992468253814	8.862075466332213e-06	0.017776488905312696
295.0	1.229e-05	0.01773302536010657
295.15480577075374	1.7100124908860194e-05	0.017710653501110042
295.5	2.7826e-05	0.017971358493354496
295.61034736	3.225710858815966e-05	0.01805469739416929
296.0	4.7904e-05	0.017310965997097527
296.06587157877027	5.099219135590782e-05	0.01718523667750114
296.5	7.1345e-05	0.018035791744372393
296.52137841271457	7.243337499129869e-05	0.018077676855705428
296.97686784748265	9.562234211534178e-05	0.017604711996534666
297.0	9.68e-05	0.017596615646570175
297.4323398687245	0.00017399860695944882	0.017445294887372783
297.5	0.00018608	0.01743856210891195
297.88779446209	0.0002665861303298898	0.017399973147401385
298.0	0.00028988	0.01720712934399777
298.3432316132291	0.0003365663640314194	0.016617228961393102
298.5	0.00035789	0.01676697567283343
298.7986513077918	0.0004380599570636233	0.017052250351806318
299.0	0.00049211	0.016961600810595605
299.25405353142787	0.0006793830201567411	0.016847222933022498
299.5	0.00086068	0.017108633719513742
299.70943826978726	0.0009276248485547985	0.01733124078984212
300.0	0.0010205	0.017482168555190896
300.16480550852	0.001094497673325469	0.017567774209796123
300.5	0.001245	0.017051959212916336
300.620155233276	0.0014096126695881514	0.016867057990334472
301.0	0.00193	0.016714267517837042
301.07548742970494	0.002044952257954676	0.01668390311357867
301.5	0.0026914	0.01635986779828461
301.5308020834571	0.0027055381563068108	0.016336356214592753
301.98609918018207	0.0029145195237035683	0.016834158162672457
302.0	0.0029209	0.016831306851810876
302.44137870553	0.004124186627015845	0.016740772055041167
302.5	0.004284	0.01668357820609733
302.89664064515074	0.006513517066392307	0.016296595875720077
303.0	0.0070945	0.016255335276452246
303.3518849846942	0.008421106392297168	0.0161148643402413
303.5	0.0089795	0.016168556976359966
303.8071117098102	0.009280838009665783	0.016279886926592074
304.0	0.0094701	0.01619984882376683
304.26232080614886	0.01077273265917403	0.016091000019958748
304.5	0.011953	0.016091981563611274
304.71751225936	0.013914960579427002	0.016092879823884135
305.0	0.016463	0.01581847309649271
305.1726860550935	0.017242159480581838	0.015650727001964924
305.5	0.018719	0.015516664422417954
305.62784217899934	0.018682692821164186	0.015464302301713157
306.0	0.018577	0.015405466510527039
306.0829806167274	0.018997047881874157	0.01539234780130539
306.5	0.021108	0.0153492227790393
306.53810135392763	0.0216216824536523	0.01534528262229262
306.99320437625	0.027757381400602386	0.01546114825691088
307.0	0.027849	0.015462278150931335
307.4482896693443	0.03482976673102974	0.015536814328250312
307.5	0.035635	0.015495790999738267
307.9033572188606	0.03741138519186211	0.015175795836543427
308.0	0.037837	0.01520096621406679
308.3584070104486	0.040412512777083756	0.015294312449074239
308.5	0.04143	0.015104122729797506
308.81343902975846	0.04086831725867285	0.014683106962922278
309.0	0.040534	0.01493898879990862
309.26845326244	0.042022304886967385	0.015307191826775321
309.5	0.043306	0.014854727222171654
309.72344969414314	0.0467171830307892	0.01441808501950149
310.0	0.050939	0.014717852275885835
310.17842831051775	0.056149463523739195	0.014911259999444395
310.5	0.06554	0.014587699107709379
310.6333890972138	0.07017713857554081	0.014453484882222933
311.0	0.082922	0.014244184235785806
311.08833203988127	0.083126577004365	0.014193754876190243
311.5	0.08408	0.01429964607165978
311.54325712417	0.0848842364525686	0.01431077287538192
311.9981643357299	0.09334187132988997	0.014158541752180596
312.0	0.093376	0.014157884515920935
312.45305366021097	0.09845744985292623	0.01399567441143194
312.5	0.098984	0.013993741459045084
312.907925083263	0.10579308548982638	0.013976945692497668
313.0	0.10733	0.013934129309360829
313.3627785905361	0.10750413372345732	0.013765431170098777
313.5	0.10757	0.013769748027060238
313.81761416767995	0.11526896742456197	0.01377973987116215
