# Wavelength [nm],shape_counts_50avgs_60.0ms
204.6342027473783,1.660745081578483
205.09290097994656,-0.44965909945756266
205.55158468335466,0.23457951979449376
206.01025384325246,1.7994671696623357
206.46890844529,2.0733814526722725
206.9275484751171,3.4036405531670155
207.38617391838378,4.714192509544532
207.84478476073983,2.1712652819363925
208.30338098783528,4.049059239713571
208.76196258532,4.244539939357651
209.22052953884392,4.537824855784848
209.67908183405694,5.59413004050981
210.13761945660903,5.457115418612801
210.59614239215006,3.071028968214179
211.05465062633,4.068588252677998
211.5131441447987,3.5794788926606174
211.97162293320616,4.909733780851994
212.43008697720222,4.909741617105823
212.88853626243687,5.222799956767169
213.34697077456,4.890267316656107
213.80539049922152,4.831424955216583
214.26379542207135,5.242261264654445
214.72218552875944,4.029387042025775
215.18056080493565,5.926853038678182
215.63892123624998,5.750498914166393
216.0972668083523,3.110229103145528
216.55559750689255,4.811628954420868
217.01391331752063,5.027222251290354
217.47221422588646,4.284115154613765
217.93050021764,6.7483560662983635
218.3887712784311,3.208124122767252
218.84702739390977,6.748592003286468
219.3052685497258,4.772569376090942
219.7634947315293,6.670174576886595
220.22170592496997,5.1052818929303925
220.67990211569793,4.420445920362319
221.13808328936295,4.479225084654395
221.59624943161504,8.156619577321358
222.0544005281041,6.552588173324857
222.51253656448003,6.141807583030449
222.97065752639273,5.222551125181816
223.42876339949214,2.7188983890456058
223.88685416942823,4.401118065802109
224.34492982185088,4.4401880288833055
224.80299034241003,3.8339657953047137
225.26103571675552,7.432870034019047
225.71906593053734,3.9912689142177236
226.17708096940547,6.689885299635293
226.6350808190097,5.80992562593061
227.093065465,4.107548684083852
227.55103489302633,6.494298376226645
228.00898908873856,4.303123892991863
228.46692803778666,4.89023392925283
228.92485172582047,3.8927353916435408
229.38276013849,3.4037735408646483
229.8406532614451,3.775834140075041
230.29853108033578,4.185883888964376
230.75639358081185,4.79229120848143
231.21424074852328,5.770192717413224
231.67207256912,3.9316820712320606
232.1298890282519,4.381840303226284
232.58769011156895,4.420485642393686
233.04547580472104,6.4549484180987875
233.5032460933581,4.303349576103074
233.96100096312998,7.119853384385962
234.41874039968673,3.853409051742787
234.87646438867816,4.205564097362718
235.33417291575424,3.8341139717762758
235.79186596656487,2.621067407460991
236.24954352676,5.320647106335159
236.7072055819895,3.7361014082650783
237.16485211790337,5.594435728564129
237.62248312015146,3.794820885841631
238.08009857438367,4.792448473036366
238.53769846625,4.538249017878009
238.9952827814003,4.498936346350611
239.45285150548455,2.953706199469103
239.91040462415262,5.2619726062665535
240.36794212305446,4.28380487786805
240.82546398783998,6.4358009394619415
241.28297020415908,2.601485566975896
241.74046075766174,5.731006255971415
242.19793563399782,3.266482334312599
242.65539481881726,4.635703627074342
243.11283829777,2.993092250429129
243.57026605650591,4.968277345306788
244.02767808067495,4.127354009089196
244.48507435592703,4.518516828779944
244.9424548679121,5.946697789230733
245.39981960228,3.0710136637022245
245.85716854468072,4.322925365160074
246.31450168076415,4.831748621844589
246.77181899618026,4.968733481000953
247.22912047657888,3.892885828379235
247.68640610761,6.318317606545058
248.1436758749235,4.7337069068086635
248.60092976416936,4.264292177784164
249.05816776099743,4.850759420173631
249.5153898510577,1.7996573101759665
249.97259602,5.613637216687422
250.42978625347433,3.9709869191110485
250.88696053713053,3.6772833278408896
251.34411885661865,6.572489926172025
251.80126119758845,4.460103231894962
252.25838754569,6.748454773365083
252.71549788657313,5.9856114833744485
253.17259220588778,3.520975611108902
253.62967048928382,6.142226472893682
254.0867327224113,5.183643953189922
254.54377889092,3.3254692653458093
255.00080898045994,6.983283589037946
255.45782297668097,4.889932240204139
255.91482086523303,2.9537433856226443
256.37180263176606,4.08802974653409
256.82876826193,5.633441101042621
257.2857177413747,4.1275046192342515
257.7426510557501,3.716611061316378
258.19956819070626,5.203175756662468
258.6564691318929,5.183742997560387
259.11335386496006,5.63338823332996
259.57022237555753,4.7922829398708515
260.02707464933536,4.753430278432248
260.4839106719435,7.061392958019347
260.94073042903176,3.853835628691165
261.39753390625,2.2494797781959335
261.8543210892483,5.320525604074312
262.3110919636766,3.931640230158621
262.7678465151847,2.6993684732052614
263.2245847294225,4.890333809984455
263.68130659203996,4.420730032980622
264.1380120886871,1.9561546323642887
264.5947012050138,5.085844822267596
265.05137392666984,3.9710416366991055
265.5080302393053,6.513766687731078
265.96467012857,5.144580025177156
266.4212935801139,4.831702992512234
266.87790057958694,4.577266579870255
267.3344911126391,5.2032228192467755
267.7910651649201,3.775393942928318
268.24762272208005,5.5749357602715435
268.70416376976874,4.714336990575056
269.16068829363616,3.5992640547138564
269.61719627933223,6.924259107851206
270.0736877125069,3.3644714305289583
270.53016257880995,6.768136099839424
270.9866208638915,6.142012575371311
271.4430625534014,4.949099746337367
271.89948763298946,3.4622284031763755
272.35589608830566,4.73385735192273
272.812287905,4.577310720382819
273.2686630687223,3.090577896246714
273.7250215651226,4.322772079371205
274.1813633798506,0.9976046085618435
274.6376884985565,2.464774528491077
275.09399690688997,5.594398776301922
275.5502885905011,3.696891122230646
276.0065635350398,4.929724397226273
276.4628217261559,5.6728699051254665
276.91906314949927,4.812045725957269
277.37528779072,5.007397251689284
277.8314956354679,4.851643790492133
278.287686669393,3.9121131170555117
278.74386087814503,6.298577002089999
279.2000182473741,7.002788267204956
279.65615876273,4.929388010050268
280.1122824098627,5.066325661190142
280.5683891744221,4.694807292895128
281.02447904205826,5.2618739288827285
281.4805519984209,4.322931195298025
281.93660802916,2.6605853606944336
282.3926471199255,5.222675271454662
282.8486692563674,6.024730551672448
283.30467442413544,6.55289396212293
